Source,Target,Type,Weight,Friendly/Hostile,Pages
21,53,undirected,1,Friendly,NA
21,64,undirected,1,Hostile,NA
21,72,undirected,1,Hostile,NA
21,74,undirected,1,Friendly,NA
23,61,undirected,1,Friendly,NA
23,108,undirected,1,Friendly,NA
23,107,undirected,1,Friendly,NA
23,131,undirected,1,Friendly,NA
23,130,undirected,1,Friendly,NA
23,113,undirected,1,Hostile,NA
23,27,undirected,1,Friendly,NA
23,57,undirected,1,Friendly,NA
23,28,undirected,1,Friendly,NA
23,110,undirected,1,Hostile,NA
23,176,undirected,1,Friendly,NA
24,65,undirected,1,Friendly,NA
25,26,undirected,1,Friendly,NA
27,28,undirected,7,Friendly,NA
27,48,undirected,1,Hostile,NA
27,77,undirected,2,Friendly,NA
27,76,undirected,1,Friendly,NA
27,57,undirected,4,Friendly,NA
27,59,undirected,2,Friendly,NA
27,113,undirected,2,Friendly,NA
27,78,undirected,1,Friendly,NA
27,62,undirected,1,Hostile,NA
28,57,undirected,7,Friendly,NA
28,62,undirected,1,Hostile,NA
28,59,undirected,2,Friendly,NA
28,81,undirected,1,Friendly,NA
28,77,undirected,1,Friendly,NA
28,76,undirected,1,Friendly,NA
28,82,undirected,1,Friendly,NA
28,75,undirected,1,Hostile,NA
28,83,undirected,1,Hostile,NA
28,84,undirected,1,Hostile,NA
28,85,undirected,1,Hostile,NA
28,86,undirected,1,Hostile,NA
28,112,undirected,1,Friendly,NA
28,79,undirected,1,Friendly,NA
28,113,undirected,2,Friendly,NA
28,78,undirected,1,Friendly,NA
28,152,undirected,1,Friendly,NA
28,104,undirected,1,Hostile,NA
29,30,undirected,1,Friendly,NA
31,42,undirected,1,Friendly,NA
33,34,undirected,1,Friendly,NA
35,36,undirected,1,Friendly,NA
37,38,undirected,1,Friendly,NA
39,42,undirected,1,Hostile,NA
42,43,undirected,1,Hostile,NA
42,44,undirected,1,Friendly,NA
42,45,undirected,1,Hostile,NA
42,46,undirected,3,Friendly,NA
42,64,undirected,1,Hostile,NA
42,72,undirected,1,Friendly,NA
42,73,undirected,1,Hostile,NA
42,75,undirected,1,Hostile,NA
42,76,undirected,1,Friendly,NA
